{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ 0.38281f, 0.85702f, -1.01216f, -0.56798f, -0.31168f, 0.35886f, -0.51106f, -2.06894f, -0.88705f, 0.09203f, 0.73628f, 0.47949f, -0.70050f, -1.28181f, -1.30838f, 0.11879f },
{ 0.89217f, -1.56514f, 0.72134f, -2.33329f, -1.62246f, 1.56366f, -1.20313f, -0.88821f, 1.70673f, 1.58386f, -0.05592f, 1.28704f, 1.12066f, 1.62200f, 0.09374f, -0.58427f },
{ -0.02223f, -0.55879f, 2.34398f, 1.00367f, -0.26092f, 2.27743f, 0.70386f, 1.49664f, -0.43939f, -0.86171f, -0.80633f, 1.61514f, 0.90112f, -1.18242f, 0.65417f, -1.08739f },
{ -0.49336f, -0.71482f, 0.26869f, -0.79660f, 0.25084f, 0.54971f, -1.29317f, -0.68638f, 0.75518f, 1.35999f, -0.73626f, -1.03896f, 0.73927f, -0.09154f, -0.35302f, 0.35718f },
{ -0.43318f, -1.42126f, -0.77006f, -0.45900f, -0.49107f, 1.17686f, -1.49644f, -1.44586f, -0.98572f, -0.76299f, -0.88531f, 0.77693f, -0.56617f, 0.87602f, -0.73510f, 0.25959f },
{ -0.67382f, 0.96599f, 0.98341f, -0.05103f, 0.57023f, 0.40401f, -0.75355f, 1.44106f, 0.77142f, -0.17185f, -1.31410f, -0.66393f, -0.39668f, -3.27304f, -0.88954f, 1.61017f },
{ -1.10019f, 0.55698f, -0.47132f, 1.90812f, 0.88346f, -0.22792f, 0.28014f, 1.19184f, 0.18388f, 0.02962f, -1.58250f, -0.82066f, 0.79555f, -0.25846f, 0.43369f, -0.72277f },
{ -0.62254f, -0.42542f, -0.37064f, 0.79406f, 0.38743f, -0.70343f, 0.31617f, 2.07266f, -0.57976f, 0.10502f, 0.61697f, -0.74835f, 0.45770f, 1.67661f, 0.60936f, 1.45838f },
{ -0.90430f, 0.16286f, 0.81356f, 0.12733f, 0.31827f, -0.23059f, 0.82418f, 0.96875f, 1.11335f, -0.42497f, -0.56969f, 0.27606f, 2.02800f, -0.69398f, -2.43806f, -1.58814f },
{ 0.09187f, 1.06525f, 0.34330f, 0.81677f, -1.16023f, -1.95349f, -1.30837f, -0.16419f, -1.62209f, 0.22936f, 0.63232f, -0.25019f, -0.66362f, 1.11254f, -1.14148f, 1.58620f },
{ 0.28886f, -0.96556f, -1.48926f, 0.04339f, 0.51392f, -3.20811f, 0.58337f, 0.02292f, -0.04285f, -0.34474f, 0.65306f, -0.71311f, -1.10651f, -1.10474f, -0.39194f, -1.00902f },
{ -0.14082f, 0.91715f, 1.40691f, -1.61586f, 0.97770f, -1.17413f, 0.04285f, 0.14945f, -0.66233f, -1.10127f, 0.11245f, 0.73934f, 0.79641f, 0.69358f, 0.27242f, 0.17249f },
{ 0.44056f, -1.22504f, -0.87040f, -1.34922f, 0.59461f, 0.07346f, 0.06535f, 0.71125f, 0.48040f, 1.04906f, -1.46612f, 0.42675f, 0.46480f, -0.36573f, 0.19045f, -0.22092f },
{ -0.38157f, 0.23982f, -1.13604f, -0.83007f, -0.05838f, -0.61701f, 1.53082f, -0.31626f, -0.35390f, -0.98896f, -0.68754f, -0.83409f, 0.36419f, -0.23932f, 0.18337f, 1.62029f },
{ -0.18893f, -1.87109f, 0.04279f, -1.08596f, -1.09018f, 0.93063f, 1.37585f, 0.93978f, 0.94835f, -0.65170f, 0.35898f, -0.37302f, -0.86848f, -1.04653f, -0.34758f, -0.42236f },
{ 0.06221f, 0.19231f, -2.32688f, 1.54012f, -0.77666f, 1.95143f, -0.12816f, 0.14383f, -1.15380f, 0.81777f, 0.72801f, 0.18820f, -0.90387f, 0.19793f, 0.53129f, 1.45334f },
{ 0.32375f, 0.74062f, -0.36253f, -2.23867f, -0.37340f, -0.62926f, -0.64397f, -0.17949f, -1.21360f, 0.29150f, -0.98944f, -0.46817f, 0.57562f, -0.45697f, 0.02054f, 0.91912f },
{ -1.00947f, 1.78855f, 0.43818f, 0.68761f, 1.16610f, -0.37600f, -1.50084f, -1.91653f, -1.13897f, 0.82195f, -1.12293f, -0.19582f, 2.11075f, -0.40343f, 0.49235f, -2.01970f },
{ -0.82309f, -0.37637f, 0.40538f, -0.13602f, 0.53825f, -0.12416f, 0.60294f, -0.27836f, -0.21279f, 0.62270f, 1.83368f, 0.67142f, 2.29578f, 1.41515f, -0.62759f, -0.51627f },
{ -0.48102f, -2.08015f, -0.42555f, 0.73257f, -0.40469f, -0.90821f, 1.74243f, 0.29581f, -0.76196f, -1.64780f, 0.04695f, 2.07009f, -1.00471f, 0.02643f, 0.06420f, 0.43117f },
{ 1.08885f, 0.86071f, 1.24061f, 1.20181f, -1.67446f, 0.72653f, 0.88699f, 1.86509f, -0.50243f, 1.35411f, 0.48734f, -0.78844f, -1.97102f, -1.12419f, 1.67102f, 0.02393f },
{ -0.75480f, 0.32900f, 0.42995f, -0.12289f, -0.14818f, 0.10373f, -0.06583f, -2.03505f, -1.71838f, 1.34759f, -0.42318f, 1.04859f, -0.09021f, -1.10806f, -0.52626f, 0.19976f },
{ -0.80899f, 1.10478f, 0.94937f, -0.55773f, -0.71538f, -0.44074f, 0.63420f, -0.33436f, 0.13949f, -0.80175f, 0.37144f, -0.03901f, -0.65874f, -0.20594f, 0.05522f, -0.71303f },
{ 0.42744f, -1.67923f, 0.22824f, 0.64360f, 0.86519f, -0.57046f, 0.45300f, -1.23171f, 0.38429f, -0.64779f, -0.86085f, 1.06996f, 1.73001f, 0.50813f, -0.24579f, -0.56969f },
{ -1.15480f, 0.13814f, 0.68493f, -0.13040f, -0.42879f, -1.05577f, 0.34959f, 0.48374f, 0.87646f, -0.38922f, -0.28096f, -1.12652f, 1.87994f, -0.45631f, -0.18798f, -0.03380f },
