{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ -1.34166f, -11.93072f, -3.63985f, -4.43515f, -4.19348f, -16.13813f, 3.54832f, 4.79714f, -0.43453f, 3.73087f, -10.44836f, -3.12378f, -5.05569f, 2.61829f, -2.37542f, -21.89043f },
{ 2.24991f, -12.19635f, 14.37777f, 6.17733f, 0.52901f, -12.29201f, -4.52681f, 15.71988f, -0.15216f, -3.57639f, -14.45813f, -5.92494f, -14.35156f, -15.57812f, -7.85899f, 9.19143f },
{ -11.22369f, -8.72649f, 4.29970f, 8.06765f, -2.75417f, 14.91306f, 11.95189f, -8.39879f, -17.65496f, -2.76280f, -11.69561f, -4.85722f, 2.76092f, -5.68484f, -11.95979f, 4.21373f },
{ 6.34871f, 0.36531f, 12.37666f, 10.09990f, -10.66994f, 3.55339f, -5.22879f, 2.24769f, -1.73974f, -1.25579f, -11.23019f, 9.94257f, -11.02671f, -5.30970f, 13.56568f, 4.84196f },
{ 6.44850f, 2.30183f, 8.29944f, -14.45178f, 0.79403f, 6.51739f, -11.60797f, 2.12772f, -2.64480f, -7.08657f, -9.01102f, -7.92499f, -10.46046f, 1.86907f, 8.74221f, 10.30764f },
{ 10.15209f, -9.99190f, -8.05512f, -4.92273f, -16.22480f, 0.72609f, -11.93065f, 0.89327f, -2.89526f, -15.50205f, -10.89078f, 3.32965f, 2.91564f, 13.71762f, -4.39404f, 1.17885f },
{ 4.79410f, 6.56524f, 5.06341f, -4.46809f, -7.96526f, 22.40850f, -0.66112f, 2.43319f, -12.10392f, 0.08623f, -7.63635f, -2.98161f, 7.04199f, 6.55679f, 16.88621f, 2.90725f },
{ 1.76166f, -1.47515f, 9.21599f, -1.82185f, 4.72632f, 6.58029f, -6.39936f, -6.47509f, -1.98602f, -13.24768f, 9.97892f, -0.33600f, 4.71858f, -18.27912f, 3.12909f, 4.03273f },
{ -10.97073f, -5.61209f, 0.68166f, -9.28030f, -1.34112f, -3.66328f, -13.18385f, -8.05972f, -7.68849f, -11.10609f, 4.30614f, 6.06454f, 7.37662f, 4.09600f, 8.62234f, -3.73549f },
{ -0.16267f, -8.21214f, -16.66523f, -10.06873f, -18.07102f, 12.51555f, -23.59044f, 23.93406f, -6.83148f, -17.88728f, 7.98129f, 7.48480f, -18.76830f, 1.20948f, 2.08484f, -2.66317f },
{ 18.70186f, -1.75636f, -17.62428f, -13.54182f, -14.68986f, 18.66592f, -15.24972f, 10.26063f, 15.29632f, 18.58090f, 4.18732f, 14.08225f, -6.25784f, 2.26362f, 4.17982f, -6.47160f },
{ 12.58153f, -20.04231f, 0.68103f, 2.96780f, 0.71255f, -0.76006f, -12.02897f, -16.56047f, 0.24581f, -8.06505f, 0.53871f, -0.48530f, -2.68318f, 0.23676f, 10.59031f, 8.34979f },
{ 3.88478f, 8.61627f, -3.60625f, -3.52911f, -5.05212f, -7.80946f, -1.47301f, -10.73716f, -0.81563f, 2.96721f, 12.52661f, 5.05151f, 6.88130f, 0.83413f, 2.10993f, 5.00737f },
{ -3.89825f, 3.50159f, -10.25246f, -8.48898f, -8.96790f, -21.52976f, 5.87326f, -20.67748f, 3.89155f, -5.10837f, 8.23950f, 17.81881f, 5.62588f, 12.47633f, 7.78425f, -4.02630f },
{ 11.37497f, -2.99017f, -5.52393f, 0.65610f, -0.44703f, 5.54575f, 1.84678f, -1.30328f, -0.97022f, 1.32353f, -5.86775f, 5.88803f, -13.37826f, -5.65351f, 3.02348f, -3.91008f },
